,time,high,low,open,volumefrom,volumeto,close
89,2022-01-27 02:00:00,36049.87,35735.28,35879.71,1931.91,69292810.19,36035.52
90,2022-01-27 03:00:00,36248.13,35543.94,36035.52,1849.69,66462580.66,35774.13
91,2022-01-27 04:00:00,36008.75,35731.68,35774.13,1455.5,52213168.88,35959.93
92,2022-01-27 05:00:00,36124.29,35855.71,35959.93,2070.24,74542879.8,36014.38
93,2022-01-27 06:00:00,36189.31,35884.2,36014.38,1378.26,49631892.29,36160.23
94,2022-01-27 07:00:00,36315.56,35997.97,36160.23,1390.63,50329989.04,36204.83
95,2022-01-27 08:00:00,36510.2,35857.28,36204.83,1793.01,64906945.77,36470.99
96,2022-01-27 09:00:00,36640.22,36372.84,36470.99,1773.6,64793047.92,36564.21
97,2022-01-27 10:00:00,36681.31,36321.18,36564.21,1029.63,37606010.8,36337.23
98,2022-01-27 11:00:00,36817.09,36328.27,36337.23,1453.31,53245008.46,36708.82
99,2022-01-27 12:00:00,36803.52,36512.28,36708.82,851.77,31244456.22,36704.77
100,2022-01-27 13:00:00,36875.62,36581.29,36704.77,1144.02,42042012.34,36859.63
101,2022-01-27 14:00:00,37215.53,36713.52,36859.63,2192.33,81025709.8,36898.05
102,2022-01-27 15:00:00,37056.58,36535.01,36898.05,1844.95,67812809.75,36651.78
103,2022-01-27 16:00:00,36787.28,36346.76,36651.78,2237.11,81782739.43,36533.0
104,2022-01-27 17:00:00,36605.06,36179.34,36533.0,2223.5,80685476.12,36300.81
105,2022-01-27 18:00:00,36346.95,36038.36,36300.81,1692.21,61163207.02,36223.64
106,2022-01-27 19:00:00,36337.8,35913.89,36223.64,2064.61,74643627.19,36234.96
107,2022-01-27 20:00:00,36433.65,35552.35,36234.96,3186.96,114515981.67,35557.3
108,2022-01-27 21:00:00,36314.02,35544.5,35557.3,3656.16,131017452.83,36203.82
109,2022-01-27 22:00:00,36978.57,35927.74,36203.82,2306.94,83973916.88,36720.5
110,2022-01-27 23:00:00,37242.79,36715.59,36720.5,2029.77,75072733.5,37189.85
111,2022-01-28 00:00:00,37479.57,37099.95,37189.85,2440.26,90930305.39,37196.66
112,2022-01-28 01:00:00,37226.36,36757.02,37196.66,1493.25,55273891.66,36906.8
113,2022-01-28 02:00:00,36993.32,36662.75,36906.8,1220.24,44908772.97,36966.46
114,2022-01-28 03:00:00,37462.29,36937.13,36966.46,1343.54,50090422.34,37369.61
115,2022-01-28 04:00:00,37462.72,37043.83,37369.61,1118.83,41691003.69,37246.38
116,2022-01-28 05:00:00,37346.6,37134.39,37246.38,539.4,20088885.73,37231.37
117,2022-01-28 06:00:00,37517.37,36941.07,37231.37,1448.26,54020605.18,36941.07
118,2022-01-28 07:00:00,37125.71,36790.09,36941.07,2077.1,76716181.5,36794.13
119,2022-01-28 08:00:00,36889.69,36446.28,36794.13,1697.59,62190619.0,36660.46
120,2022-01-28 09:00:00,36861.48,36436.35,36660.46,992.52,36343175.74,36508.0
121,2022-01-28 10:00:00,36692.15,36339.43,36508.0,1156.26,42262997.2,36634.0
122,2022-01-28 11:00:00,36665.37,36348.54,36634.0,998.42,36377473.44,36457.29
123,2022-01-28 12:00:00,36586.88,36176.78,36457.29,1419.73,51648624.06,36282.54
124,2022-01-28 13:00:00,36989.81,36230.35,36282.54,2132.6,78183157.47,36928.84
125,2022-01-28 14:00:00,37101.22,36631.94,36928.84,2396.27,88308120.56,36777.47
126,2022-01-28 15:00:00,37342.47,36701.78,36777.47,3792.66,140634559.74,37210.86
127,2022-01-28 16:00:00,37385.59,37031.31,37210.86,1570.31,58430113.4,37120.94
128,2022-01-28 17:00:00,37191.85,36796.96,37120.94,1599.82,59191900.02,36853.2
129,2022-01-28 18:00:00,37130.73,36797.91,36853.2,1902.39,70326748.4,37070.22
130,2022-01-28 19:00:00,37254.0,36786.03,37070.22,1847.49,68375321.26,37245.37
131,2022-01-28 20:00:00,37869.29,37159.63,37245.37,2488.91,93374951.98,37776.13
132,2022-01-28 21:00:00,38021.06,37687.51,37776.13,1781.67,67453252.28,37810.12
133,2022-01-28 22:00:00,37954.88,37670.0,37810.12,836.64,31656634.56,37681.77
134,2022-01-28 23:00:00,37859.33,37670.71,37681.77,559.13,21112728.05,37744.7
135,2022-01-29 00:00:00,38001.08,37677.49,37744.7,1061.18,40171324.75,37817.41
136,2022-01-29 01:00:00,37916.53,37510.02,37817.41,920.44,34685639.09,37566.34
137,2022-01-29 02:00:00,37652.05,37485.28,37566.34,650.59,24435649.67,37552.63
138,2022-01-29 03:00:00,37764.16,37522.55,37552.63,507.04,19098396.68,37755.3
139,2022-01-29 04:00:00,37941.42,37754.96,37755.3,621.38,23530136.73,37848.24
140,2022-01-29 05:00:00,37856.8,37641.53,37848.24,622.87,23518844.22,37679.63
141,2022-01-29 06:00:00,37857.39,37631.72,37679.63,479.3,18085990.4,37772.26
142,2022-01-29 07:00:00,37939.36,37695.3,37772.26,575.35,21760910.31,37862.17
143,2022-01-29 08:00:00,37940.08,37783.72,37862.17,654.93,24794470.93,37818.16
144,2022-01-29 09:00:00,37820.49,37605.17,37818.16,525.78,19815217.48,37733.68
145,2022-01-29 10:00:00,37827.16,37641.69,37733.68,440.79,16627531.07,37779.04
146,2022-01-29 11:00:00,37809.45,37699.47,37779.04,379.1,14311083.0,37766.4
147,2022-01-29 12:00:00,37922.94,37658.53,37766.4,633.14,23948977.85,37876.07
148,2022-01-29 13:00:00,38204.98,37765.16,37876.07,2237.87,85246644.0,38180.31
149,2022-01-29 14:00:00,38223.29,37555.26,38180.31,1168.86,44357044.43,37657.72
150,2022-01-29 15:00:00,37748.71,37343.45,37657.72,1409.83,52961845.44,37596.17
151,2022-01-29 16:00:00,37614.52,37349.55,37596.17,2439.78,91519475.25,37535.16
152,2022-01-29 17:00:00,37743.89,37531.76,37535.16,888.49,33458199.09,37665.8
153,2022-01-29 18:00:00,37917.09,37579.47,37665.8,912.54,34442705.2,37828.9
154,2022-01-29 19:00:00,37978.02,37816.35,37828.9,578.58,21932048.87,37884.94
155,2022-01-29 20:00:00,38660.33,37864.24,37884.94,3038.69,116578504.5,38372.14
156,2022-01-29 21:00:00,38728.29,38315.33,38372.14,1279.74,49324127.75,38388.59
157,2022-01-29 22:00:00,38425.6,38064.05,38388.59,1281.8,48909003.87,38161.98
158,2022-01-29 23:00:00,38205.31,37936.1,38161.98,789.21,30037822.01,38184.86
159,2022-01-30 00:00:00,38291.87,37779.15,38184.86,1091.26,41484739.49,37842.01
160,2022-01-30 01:00:00,38004.04,37818.68,37842.01,590.75,22401243.26,37947.45
161,2022-01-30 02:00:00,38082.15,37902.34,37947.45,585.4,22244567.04,37984.25
162,2022-01-30 03:00:00,38074.0,37915.67,37984.25,540.34,20532984.01,37946.93
163,2022-01-30 04:00:00,38188.11,37931.4,37946.93,498.36,18957745.77,38127.84
164,2022-01-30 05:00:00,38315.22,38115.39,38127.84,964.06,36840544.73,38152.56
165,2022-01-30 06:00:00,38169.16,38075.76,38152.56,378.83,14445319.7,38129.16
166,2022-01-30 07:00:00,38292.24,38129.1,38129.16,544.46,20806141.3,38263.51
167,2022-01-30 08:00:00,38364.51,38000.24,38263.51,764.58,29168085.66,38029.34
168,2022-01-30 09:00:00,38095.98,37849.06,38029.34,612.83,23267862.57,37915.71
169,2022-01-30 10:00:00,38206.92,37883.47,37915.71,571.7,21756361.0,38201.29
